Time,X,Y
1715768766.895554,724,271
1715768766.9120574,725,271
1715768766.9288945,725,271
1715768766.945474,725,271
1715768766.962123,725,271
1715768766.978785,725,271
1715768766.9955692,727,271
1715768767.0119448,726,271
1715768767.0293388,726,271
1715768767.0458589,726,271
1715768767.061994,726,271
1715768767.078805,726,271
1715768767.0955315,727,272
1715768767.1121275,726,271
1715768767.1287503,726,271
1715768767.145336,727,271
1715768767.1621807,727,272
1715768767.1786275,727,272
1715768767.1953733,726,272
1715768767.2119126,725,272
1715768767.228662,725,273
1715768767.245262,725,273
1715768767.2620306,725,272
1715768767.2786417,725,273
1715768767.295389,725,272
1715768767.3118784,725,272
1715768767.3286216,726,272
1715768767.3451598,726,273
1715768767.3618686,725,272
1715768767.3786414,725,272
